"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)"
"47","2000","1","Andhra Pradesh","West Godavari","471.67","1652.88","3504.31","0.0","0.0","0.0","0.33","0.12","363.64","0.02","0.02","1000.0","18.69","94.14","5036.92","4.14","7.45","1799.52","0.34","0.49","1441.18","30.89","8.19","265.13","62.22","281.26","4520.41","2.03","0.65","320.2","75.79","6.12","0.0","0.0"
"47","2001","1","Andhra Pradesh","West Godavari","414.2","1473.13","3556.57","0.0","0.0","0.0","0.32","0.19","593.75","1.14","0.84","736.84","13.48","83.96","6228.49","3.37","7.36","2183.98","0.44","0.49","1113.64","30.65","12.48","407.18","63.7","300.89","4723.55","3.27","1.45","443.43","75.09","5.41","0.0","0.0"
"47","2002","1","Andhra Pradesh","West Godavari","332.0","1166.0","3512.05","0.0","0.0","0.0","1.3","1.0","769.23","1.0","0.62","620.0","18.0","121.0","6722.22","3.0","5.0","1666.67","2.0","2.0","1000.0","31.75","7.0","220.47","35.0","263.0","7514.29","1.0","0.34","340.0","76.25","5.05","0.0","0.0"
"47","2003","1","Andhra Pradesh","West Godavari","410.22","1679.72","4094.68","0.0","0.0","0.0","0.43","1.27","2953.49","1.18","2.22","1881.36","27.82","148.22","5327.82","3.11","5.79","1861.74","2.97","3.49","1175.08","34.64","9.73","280.89","32.72","299.38","9149.76","3.76","1.9","505.32","73.87","5.35","0.0","0.0"
"47","2004","1","Andhra Pradesh","West Godavari","420.0","1649.57","3927.55","0.0","0.0","0.0","0.38","0.2","526.32","0.07","0.12","1714.29","23.66","141.33","5973.37","3.92","8.38","2137.76","2.52","2.25","892.86","33.96","10.82","318.61","33.64","302.32","8986.92","8.73","4.22","483.39","70.8","5.27","0.0","0.0"
"47","2005","1","Andhra Pradesh","West Godavari","446.02","1363.27","3056.52","0.0","0.0","0.0","0.34","0.19","558.82","0.16","0.46","2875.0","29.12","163.64","5619.51","4.39","14.38","3275.63","2.36","2.68","1135.59","35.34","17.23","487.55","66.14","328.5","4966.74","11.2","4.61","411.61","74.41","5.35","0.0","0.0"
"47","2006","1","Andhra Pradesh","West Godavari","434.04","1557.11","3587.48","0.0","0.0","0.0","0.17","0.13","764.71","0.21","0.46","2190.48","30.45","204.75","6724.14","4.76","9.51","1997.9","2.12","1.72","811.32","36.27","149.09","4110.56","67.83","354.81","5230.87","4.37","2.29","524.03","71.71","4.98","0.0","0.0"
"47","2007","1","Andhra Pradesh","West Godavari","445.32","1639.14","3680.81","0.0","0.0","0.0","0.2","0.44","2200.0","0.1","0.39","3900.0","35.91","243.98","6794.21","5.81","13.61","2342.51","1.77","3.09","1745.76","37.0","174.32","4711.35","62.89","352.68","5607.89","4.5","3.08","684.44","70.07","5.12","0.0","0.0"
"47","2008","1","Andhra Pradesh","West Godavari","450.46","1600.38","3552.77","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.35","4375.0","48.1","378.6","7871.1","10.69","19.99","1869.97","2.34","2.37","1012.82","43.95","175.75","3998.86","52.9","305.83","5781.29","3.51","2.15","612.54","69.92","6.16","0.0","0.0"
"47","2009","1","Andhra Pradesh","West Godavari","328.58","1115.06","3393.57","0.0","0.0","0.0","0.03","0.04","1333.33","0.54","1.89","3500.0","46.88","322.41","6877.35","6.19","13.38","2161.55","4.05","3.95","975.31","59.84","578.77","9671.96","43.1","205.05","4757.54","2.52","1.38","547.62","53.09","6.37","0.0","0.0"
