state_name,district_name,mandal_name,village_name,crop_name,disease_name,affected_area_acres,total_crop_area_acres,disease_incidence_percent,severity_level,affected_farmers,season
Andhra Pradesh,East Godavari,Seethanagaram,Valasapalle,Onion,Stemphylium Blight,1286.86,2637.0,48.8,High,259,Kharif
Andhra Pradesh,NTR,Vijayawada Rural,Mallavaram,Groundnut,Tikka Leaf Spot,1602.91,2313.0,69.3,Severe,454,Summer
Andhra Pradesh,Prakasam,Markapur,Ramapuram,Paddy (Rice),Sheath Blight,563.24,1114.0,50.56,Severe,314,Kharif
Andhra Pradesh,Ananthapuramu,Ananthapuramu_Mandal_10,Ananthapuramu_Village_11,Groundnut,Collar Rot,365.19,545.67,66.93,High,103,Zaid
Andhra Pradesh,Sri Potti Sriramulu Nellore,Sri Potti Sriramulu Nellore_Mandal_10,Sri Potti Sriramulu Nellore_Village_18,Sugarcane,Smut,174.06,882.0,19.73,Low,475,Zaid
Andhra Pradesh,East Godavari,Rajanagaram,Mallavaram,Onion,Stemphylium Blight,322.2,2148.0,15.0,Medium,270,Summer
Andhra Pradesh,Annamayya,Pileru,Valasapalle,Onion,Purple Blotch,139.09,519.0,26.8,High,110,Summer
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Dr. B.R. Ambedkar Konaseema_Mandal_3,Dr. B.R. Ambedkar Konaseema_Village_6,Onion,Bulb Rot,480.91,1438.48,33.43,Low,358,Rabi
Andhra Pradesh,NTR,Kanchikacherla,Lingapuram,Banana,Panama Wilt,887.25,1300.0,68.25,Severe,550,Summer
Andhra Pradesh,East Godavari,Rajanagaram,Mallavaram,Groundnut,Rust,519.04,1515.0,34.26,High,381,Summer
Andhra Pradesh,Nandyal,Nandyal_Mandal_9,Nandyal_Village_18,Groundnut,Collar Rot,208.87,219.45,95.18,High,243,Zaid
Andhra Pradesh,West Godavari,Bhimavaram,Valasapalle,Sugarcane,Smut,434.11,786.0,55.23,Severe,374,Kharif
Andhra Pradesh,Ananthapuramu,Ananthapuramu_Mandal_5,Ananthapuramu_Village_23,Onion,Bulb Rot,446.36,1097.87,40.66,Low,265,Kharif
Andhra Pradesh,NTR,Vijayawada Rural,Mallavaram,Banana,Panama Wilt,776.67,2813.0,27.61,High,434,Summer
Andhra Pradesh,West Godavari,Bhimavaram,Chinakakani,Paddy (Rice),Blast,352.45,1899.0,18.56,Medium,687,Summer
Andhra Pradesh,NTR,Gannavaram,Kothapalli,Maize,Turcicum Leaf Blight,74.83,2792.0,2.68,Low,859,Summer
Andhra Pradesh,East Godavari,Kadiam,Dulla,Cotton,Leaf Curl Virus,141.33,651.0,21.71,Medium,903,Rabi
Andhra Pradesh,Prakasam,Markapur,Chinakakani,Groundnut,Rust,1635.09,2684.0,60.92,Severe,377,Rabi
Andhra Pradesh,Prakasam,Ongole,Lingapuram,Paddy (Rice),Bacterial Leaf Blight,209.3,1539.0,13.6,Medium,732,Rabi
Andhra Pradesh,Nandyal,Nandyal_Mandal_3,Nandyal_Village_50,Rice,Bacterial Blight,346.13,774.7,44.68,High,311,Zaid
Andhra Pradesh,Prakasam,Chimakurthy,Chinakakani,Sugarcane,Smut,24.87,266.0,9.35,Low,325,Rabi
Andhra Pradesh,Prakasam,Ongole,Annavaram,Tomato,Leaf Curl Virus,764.54,1408.0,54.3,Severe,121,Summer
Andhra Pradesh,NTR,Gannavaram,Ramapuram,Onion,Stemphylium Blight,772.93,2270.0,34.05,High,956,Kharif
Andhra Pradesh,Guntur,Mangalagiri,Valasapalle,Banana,Sigatoka,296.75,1266.0,23.44,Medium,471,Kharif
Andhra Pradesh,NTR,Vijayawada Rural,Chinakakani,Turmeric,Leaf Spot,10.21,577.0,1.77,Low,292,Kharif
Andhra Pradesh,Tirupati,Tirupati_Mandal_9,Tirupati_Village_42,Chilli,Powdery Mildew,301.75,499.82,60.37,Medium,446,Zaid
Andhra Pradesh,Ananthapuramu,Ananthapuramu_Mandal_1,Ananthapuramu_Village_22,Tomato,Late Blight,336.25,813.1,41.35,High,161,Rabi
Andhra Pradesh,Prakasam,Ongole,Kothapalli,Cotton,Pink Bollworm,1611.19,2697.0,59.74,Severe,692,Rabi
Andhra Pradesh,Annamayya,Rayachoti,Annavaram,Onion,Stemphylium Blight,349.21,1175.0,29.72,High,802,Kharif
Andhra Pradesh,Eluru,Eluru_Mandal_4,Eluru_Village_14,Mango,Anthracnose,273.27,800.08,34.16,Low,80,Rabi
Andhra Pradesh,Annamayya,Rayachoti,Annavaram,Cotton,Leaf Curl Virus,189.99,1655.0,11.48,Medium,606,Kharif
Andhra Pradesh,Kurnool,Nandyal,Annavaram,Banana,Panama Wilt,1174.56,2544.0,46.17,High,28,Kharif
Andhra Pradesh,Guntur,Tadikonda,Dulla,Paddy (Rice),Bacterial Leaf Blight,285.94,2208.0,12.95,Medium,649,Rabi
Andhra Pradesh,Annamayya,Pileru,Mallavaram,Sugarcane,Red Rot,948.45,2468.0,38.43,High,563,Rabi
Andhra Pradesh,NTR,Gannavaram,Kothapalli,Maize,Turcicum Leaf Blight,954.91,1769.0,53.98,Severe,713,Rabi
Andhra Pradesh,Guntur,Mangalagiri,Kothapalli,Paddy (Rice),Bacterial Leaf Blight,357.31,1386.0,25.78,High,36,Kharif
Andhra Pradesh,Prakasam,Chimakurthy,Valasapalle,Mango,Powdery Mildew,1064.94,2138.0,49.81,High,521,Summer
Andhra Pradesh,Krishna,Pedana,Lingapuram,Turmeric,Rhizome Rot,1574.09,2277.0,69.13,Severe,117,Summer
Andhra Pradesh,Prakasam,Markapur,Annavaram,Sugarcane,Smut,197.42,2029.0,9.73,Low,173,Kharif
Andhra Pradesh,NTR,Vijayawada Rural,Ramapuram,Cotton,Leaf Curl Virus,1539.97,2949.0,52.22,Severe,916,Kharif
Andhra Pradesh,Kurnool,Banaganapalle,Annavaram,Turmeric,Leaf Spot,107.71,1408.0,7.65,Low,216,Rabi
Andhra Pradesh,East Godavari,Seethanagaram,Lingapuram,Maize,Turcicum Leaf Blight,43.27,317.0,13.65,Medium,433,Kharif
Andhra Pradesh,Guntur,Mangalagiri,Dulla,Jowar (Sorghum),Anthracnose,563.58,2365.0,23.83,Medium,252,Summer
